title,price,body_style,mileage,exterior_color,interior_color,engine,transmission,drive_type,fuel_type,stereo,doors,stock_number,vin_num,description,other_options,year,make,model,import,kind
2006 Subaru Legacy 2.5i Limited AWD,5995,4 Door,177177,White,Gray Cloth,2.5L 4 Cylinder,4 Speed Shiftable Automatic,AWD,Gas,AM/FM CD,4,06LEGACYAWD2865,4S3BL626X67202865,"Description
  
      **LOCAL TRADE IN** **ALL WHEEL DRIVE** **POWER SUNROOF**A tight chassis, and a slick cockpit have transformed the 2006 Subaru Legacy 2.5i Limited into a serious driver's car. Whether you're an enthusiast in need of four doors or a safety-conscious parent in need of some fun, this Subaru car is worth a try. The Legacy features a generous standard equipment list, top-notch build and materials quality, great highway ride, and sharp handling.This Legacy is equipped with Cloth Interior, Power Drivers Seat, and Power Options.Powering the Legacy is a 2.5-liter horizontally opposed four-cylinder engine. It's been updated for 2006 with new valvetrain technology and now produces 175 hp and 169 lb-ft of torque. Fuel Economy clocks in at 20 MPG City and 27 MPG Hwy.All Subaru Legacy models have four-wheel antilock disc brakes with Electronic Brakeforce Distribution. Front side-impact airbags and full-length side curtain airbags are standard on all models. The front-seat head restraints feature dynamic whiplash protection. Both frontal-offset and side-impact crash tests by the IIHS returned a rating of ""Good,"" its highest. The NHTSA gave the Legacy a perfect five-star score for frontal occupant protection in head-on crashes.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li>Automatic Transmission</li>
<li class=""last"">AWD</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">CD Player</li>
<li>Cruise Control</li>
<li>Dual Air Bags</li>
<li>Moon Roof/Sunroof</li>
<li>Power Drivers Seat</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2006,Subaru,Legacy,import,car
2007 Toyota Camry XLE 4 Cylindeer,9900,4 Door,119635,Red,Gray Leather,2.4L 4 Cylinder,5 Speed Automatic,Front Wheel Drive,Gas,AM/FM CD,4,07CAMRYXLE0555,4T1BE46K67U120555,"Description
  
      The 2007 Toyota Camry XLE 4 Cylinder's combination of comfort, refinement and reliability will very likely allow it to keep the title belt for ""America's best-selling sedan."" Anyone shopping in this segment will want to give the Camry consideration. The Camry features Roomy cabin, powerful V6 engine, legendary build quality and reliability history.The luxurious XLE pampers its occupants with a 440-watt JBL sound system that incorporates Bluetooth technology, a moonroof, air conditioning, power windows and mirrors, cruise control, a tilt and telescoping steering wheel, wood-tone accents, reclining rear seats, an automatic dual-zone climate control system with a high-tech air filter, and more.Powering this Camry is a 2.4-liter inline four 158 horsepower and 161 pound-feet of torque. Fuel Economy clocks in at 21 MPG City and 30 MPG Hwy.Every Camry comes with seven airbags dual-stage front airbags, front-seat side and full-length side curtain airbags and a driver knee airbag, a tire-pressure monitor and antilock brakes with BrakeAssist BA and Electronic Brakeforce Distribution EBD.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li>Automatic Transmission</li>
<li class=""last"">CD Player</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Cruise Control</li>
<li>Dual Air Bags</li>
<li>Fog Lights</li>
<li>Heated Seats</li>
<li>Leather Interior</li>
<li>Moon Roof/Sunroof</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Seats</li>
<li>Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2007,Toyota,Camry,import,car
2013 Fiat 500 Pop Hatchback,11995,2 Door Hatchback,38734,White,Gray Cloth,1.4L 4 Cylinder,6 Speed Automatic,Front Wheel Drive,Gas,AM/FM CD,2,13FIAT500W7878,3C3CFFAR7DT567878,"Description
  
      **Balance of 4 YR/50,000 Mile Basic Warranty remains on this Fiat 500**The 2013 Fiat 500 proves that fun and charm can coexist with small and affordable. The 500 features Adorable styling; excellent fuel economy; and is surprisingly spacious for two people.The 500 is equipped with heated mirrors, keyless entry, air-conditioning, full power accessories, cruise control, cloth upholstery, a height-adjustable driver seat, 50/50 split-folding rear seats, a trip computer, a tilt-only leather-wrapped steering wheel, Bluetooth and a six-speaker sound system with a CD player, auxiliary audio input and iPod integration.Powering the Fiat is a 1.4-liter four-cylinder that produces 101 horsepower and 98 pound-feet of torque. Fuel Economy clocks in at 27 MPG City and 34 MPG Hwy.The 2013 Fiat 500 comes standard with stability and traction control, antilock disc brakes, a driver knee airbag, front side airbags and side curtain airbags.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2 Door</li>
<li>2WD/Front Wheel Drive</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li class=""last"">Automatic Transmission</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">CD Player</li>
<li>Cruise Control</li>
<li>Dual Air Bags</li>
<li>Low Mileage</li>
<li>Power Locks</li>
<li>Power Mirrors</li>
<li class=""last"">Power Steering</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Windows</li>
<li>Rear Window Defroster</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li>Tinted Glass</li>
<li class=""last"">Traction Control</li>
</ul></div>",2013,Fiat,500,import,car
2007 Honda Civic EX 5 Speed Manual,7995,4 Door,104151,Gold,Tan Cloth,1.8L 4 Cylinder,5 Speed Manual,Front Wheel Drive,Gas,AM/FM CD,4,07CIVIC9160,1HGFA15847L119160,"Description
  
      **LOCAL TRADE IN** The 2007 Honda Civic EX 5 Speed Manual and **Power Sunroof** continues to set the bar for the small car segment. Strong on comfort, safety and customization, this is one car that every shopper needs to consider.This Civic is equipped with Cloth Interior, Air, Power Options and more.Powering the Civic is a 1.8-liter four-cylinder engine that makes 140 horsepower and 128 pound-feet of torque. That power is sent through the front wheels through a five-speed manual transmission. Fuel Economy clocks in at 30 MPG City and 40 MPG Hwy.All Civics come with front seat-mounted side airbags, full-length side curtain airbags and active front head restraints. Antilock brakes are also standard.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li class=""last"">Automatic Transmission</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">CD Player</li>
<li>Cruise Control</li>
<li>Dual Air Bags</li>
<li>Manual Transmission</li>
<li>Moon Roof/Sunroof</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2007,Honda,Civic,import,car
2011 Ford Taurus SEL,13900,4 Door,111425,Silver,Gray Cloth,3.5L V6,Automatic,Front Wheel Drive,Gas,AM/FM CD,4,185514,1FAHP2EW0BG185514,"Description
  
      **One Owner** With its roomy, comfortable interior and large trunk, the 2011 Ford Taurus SEL is an appealing reinvention of the classic full-size American sedan. The Taurus boasts Top crash test scores, a long list of standard features and cutting-edge options, a handsome and quiet cabin, humongous trunk, and a comfortable ride.The SEL adds 18-inch wheels, automatic transmission paddle shifters, heated mirrors, dual-zone automatic climate control, an auto-dimming rearview mirror, upgraded cloth upholstery, a leather-wrapped steering wheel, satellite radio, automatic headlights, keyless entry with an access keypad, cruise control, a six-way power driver seat manual recline, a 60/40-split-folding rear seat, a tilt-and-telescoping steering column, steering-wheel audio controls and a six-speaker stereo with CD/MP3 player and an auxiliary audio jack.The 2011 Taurus is powered by a standard 3.5-liter V6 engine that produces 263 hp and 249 pound-feet of torque. A six-speed automatic transmission is standard. Fuel economy with front-wheel drive is an EPA-estimated 17 mpg city/25 mpg highway and 20 mpg combined.Every 2011 Ford Taurus comes standard with antilock disc brakes, stability and traction control, front side airbags and side curtain airbags. In the government's new, more strenuous crash testing for 2011, the Taurus earned an overall rating of four stars out of a possible five, with four stars for overall frontal crash protection and five stars for overall side crash protection.It also got the best rating of ""Good"" in the Insurance Institute for Highway Safety's frontal-offset, side and roof strength tests.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li class=""last"">Automatic Transmission</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">CD Player</li>
<li>Cruise Control</li>
<li>Dual Air Bags</li>
<li>One Owner</li>
<li>Power Drivers Seat</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2011,Ford,Taurus,import,car
2010 Mazda 3s Sedan 2.5L,9900,4 Door,111158,Gray,Black Leather,2.5L 4 Cylinder,5 Speed Automatic,Front Wheel Drive,Gas,Bose AM/FM 6 Disc CD Changer,4,10MAZDA3S1164,JM1BL1S63A1101164,"Description
  
      The 2010 Mazda 3s Sedan remains more entertaining and sophisticated than its price tag would suggest. If you're shopping for a small, inexpensive sedan or hatchback, it should be at the top of your list. The Mazda 3 offers Athletic handling and performance and high-end interior.This Mazda is equipped with Heated Leather, Power Sunroof, Power Drivers Seat, Bose Sound and Power Options.Powering the Mazda 3 is a 2.5-liter inline-4 good for 167 hp and 168 lb-ft of torque. Estimated fuel economy is 22 mpg city and 29 mpg highway.Standard safety equipment on the 2010 Mazda 3 includes antilock disc brakes with brake assist, active front head restraints, front side airbags and side curtain airbags.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li>Automatic Transmission</li>
<li>Bose Stereo System</li>
<li class=""last"">CD Changer</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Cruise Control</li>
<li>Dual Air Bags</li>
<li>Heated Seats</li>
<li>Leather Interior</li>
<li>Memory Seats</li>
<li>Moon Roof/Sunroof</li>
<li>Power Drivers Seat</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Remote Keyless Entry</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2010,Mazda,3s,import,car
2006 Chevy Malibu Maxx LT V6,7495,4 Door Hatchback,118028,Burgundy,Gray Cloth,3.5L V6,4 Speed Shiftable Automatic,Front Wheel Drive,Gas,AM/FM CD,4,06MALIBUMAXX9377,1G1ZT63836F209377,"Description
  
      Spacious and well equipped, the 2006 Chevrolet Malibu Maxx lt is a well-executed design that adds the functionality of a wagon without giving up sedan drivability. The Malibu Maxx offers Hatchback configuration makes for easy loading, spacious interior with adjustable rear seats, plenty of safety and convenience features, and standard V6 power.The Malibu Maxx LT is well equipped with features like air conditioning; a six-speaker stereo with a CD player and driver information center; a tilt-and-telescoping steering wheel; cloth seats with height and lumbar adjustment for the driver; power windows, mirrors and door locks; a multiadjustable 60/40-split folding rear seat; and a rear cargo shelf.Powering the Malibu Maxx is a 3.5-liter V6 that makes 200 horsepower and 220 pound-feet of torque. Fuel Economy clocks in at 20 MPG City and 28 MPG Hwy.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li class=""last"">Automatic Transmission</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">CD Player</li>
<li>Cruise Control</li>
<li>Dual Air Bags</li>
<li>Power Locks</li>
<li>Power Mirrors</li>
<li>Power Steering</li>
<li class=""last"">Power Windows</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Rear Window Defroster</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li>Tinted Glass</li>
<li class=""last"">Traction Control</li>
</ul></div>",2006,Chevy,Malibu,import,car
2007 Ford Focus ZX5 Hatchback,5995,4 Door Hatchback,120883,Silver,Gray Cloth,2.0L 4 Cylinder,4 Speed Automatic,Front Wheel Drive,Gas,AM/FM CD,4,07FOCUS9911,1FAHP37N07W299911,"Description
  
      The 2007 Ford Focus is a sporty litle hatchback that offers Plush ride quality, responsive steering, comfortable seats front and rear, and simple controls.This Focus is equipped with Cloth Interior and Power Options.Powering the Focus is a 2.0-liter inline four-cylinder rated for 136 horsepower. Fuel Economy clocks in at 22 MPG City and 31 MPG Hwy.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>AM FM Radio</li>
<li>Automatic Transmission</li>
<li class=""last"">CD Player</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Cruise Control</li>
<li>Dual Air Bags</li>
<li>Power Locks</li>
<li>Power Mirrors</li>
<li>Power Steering</li>
<li class=""last"">Power Windows</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Rear Window Defroster</li>
<li>Rear Window Wiper</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2007,Ford,Focus,import,car
2004 Volkswagen Phaeton AWD V8,14900,4 Door,84849,Black,Tan Leather,4.2L V8,Automatic,AWD,Gas,AM/FM 6 DISC CD CHANGER,4,9306,WVWAF63D748009306,"Description
  
      **DVD Entertainment** The 2004 Volkswagen Phaeton AWD V8 is an ultraluxury flagship sedan from Volkswagen that seats five passengers in a very well-equipped interior compartment. With 4Motion all-wheel-drive and adjustable air suspension, the Phaeton offers the full spectrum of luxury amenities including leather trimmed seats, four-zone Climatronic automatic climate control, infotainment system with multi-function computer, and standard interior wood trim.This Pheaton is equipped with Heated Leather Seats Front and Rear, Navigation, Driver Memory, Power Sunroof, and multiple Power Options.Powering the Pheaton is a 335 horsepower 4.2-liter V8. Fuel Economy clocks in at 14 MPG City and 21 MPG Hwy.Give us a call to schedule a test drive or if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li>Automatic Transmission</li>
<li>AWD</li>
<li>CD Changer</li>
<li class=""last"">Cruise Control</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Dual Air Bags</li>
<li>DVD Entertainment System</li>
<li>Fog Lights</li>
<li>Heated Seats</li>
<li>Leather Interior</li>
<li>Memory Seats</li>
<li>Moon Roof/Sunroof</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Seats</li>
<li>Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Remote Keyless Entry</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li class=""last"">Tinted Glass</li>
</ul></div>",2004,Volkswagen,Phaeton,import,car
2010 Lexus ES 350,24900,4 Door,108625,Black,Beige Leather,3.5L V6,6 Speed Shiftable Automatic,Front Wheel Drive,Gas,AM/FM 6 DISC CD CHANGER,4,371019,JTHBK1EG6A2371019,"Description
  
      **One Owner** The 2010 Lexus ES 350 with **Navigation** and **Power Sunroof** remains a top choice among entry-level luxury sedans. The ES 350 boasts a Powerful and velvety-smooth V6, plush ride, and sumptuous interior.The cabin of the ES 350 is stocked with high-quality materials that are screwed together to a degree befitting the reputation Lexus has achieved over the years the Camry can't make the same claim. Ambient noise is quelled to a level that may make you question your hearing, while the isolated ride melts road imperfections away. The V6 engine is civilized and offers a pleasing mix of power and fuel economy. In short, the ES 350 is designed to comfortably whisk you away from that long day at the office while drawing as little attention to itself as possible.Standard equipment on the ES 350 includes 17-inch alloy wheels, Heated Leather Seats, a Power Sunroof, Back Up Camera, automatic wipers, cruise control, keyless ignition/entry, dual-zone automatic climate control, 10-way power front seats, driver memory functions, a power tilt-and-telescoping steering column, leather upholstery, auto-dimming mirror, Bluetooth phone and music streaming capability, and an eight-speaker stereo with in-dash six-CD changer, satellite radio, iPod interface, auxiliary audio jack and USB audio jack.The 2010 Lexus ES 350 is powered by a 3.5-liter V6 that doles out a silky smooth 272 horsepower and 254 pound-feet of torque. Front-wheel drive and a six-speed automatic transmission are standard. EPA-estimated fuel economy stands at 19 mpg city/27 mpg highway and 22 mpg combined.Every 2010 Lexus ES 350 comes standard with stability and traction control, antilock brakes, front and rear side airbags, side curtain airbags and front knee airbags.Give us a call to schedule a test drive of if you have additional questions. Warranty available for purchase.","<h3 class=""field-label"">Features</h3>
  <div class=""item-list""><ul id=""list-0"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">2WD/Front Wheel Drive</li>
<li>4 Door</li>
<li>Air Conditioning</li>
<li>Alloy Wheels</li>
<li>AM FM Radio</li>
<li>Anti Lock Brakes</li>
<li>Automatic Transmission</li>
<li>Back Up Camera</li>
<li>Blue Tooth</li>
<li>CD Changer</li>
<li class=""last"">Cruise Control</li>
</ul></div><div class=""item-list""><ul id=""list-1"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Dual Air Bags</li>
<li>Fog Lights</li>
<li>Heated Seats</li>
<li>Leather Interior</li>
<li>Memory Seats</li>
<li>Moon Roof/Sunroof</li>
<li>MP3 Jack</li>
<li>Navigation System</li>
<li>One Owner</li>
<li>Power Locks</li>
<li class=""last"">Power Mirrors</li>
</ul></div><div class=""item-list""><ul id=""list-2"" class=""veh-features-list"" style=""float: left; display: block; width: 33%;""><li class=""first"">Power Seats</li>
<li>Power Steering</li>
<li>Power Windows</li>
<li>Rear Window Defroster</li>
<li>Remote Keyless Entry</li>
<li>Side Airbags</li>
<li>Tilt Wheel</li>
<li>Tinted Glass</li>
<li class=""last"">Traction Control</li>
</ul></div>",2010,Lexus,ES,import,car
